"","short.id","IGSN","Location","Site","Position","id","year","month","top_depth_cm","bottom_depth_cm","ppm_C","eoc_dry_mass","c_per_g_soil","eoc_method","ppm_C_sd","eoc_dry_mass_sd","c_per_g_soil_sd"
"132","LUQ-077","IECZM006H","LUQ","EV","R","LUQ-EV-R",2022,1,110,120,12.04,3.15,0.076444444,"hot water",NA,NA,NA
"133","LUQ-078","IECZM006P","LUQ","EV","R","LUQ-EV-R",2022,1,190,200,8.92,3.37,0.052937685,"hot water",NA,NA,NA
"134","LUQ-079","IECZM005S","LUQ","EV","M","LUQ-EV-M",2022,1,60,70,13.82,3.24,0.085308642,"hot water",NA,NA,NA
"135","LUQ-080","IECZM006L","LUQ","EV","R","LUQ-EV-R",2022,1,150,160,6.03,3.42,0.035263158,"hot water",NA,NA,NA
"136","LUQ-081","IECZM0066","LUQ","EV","R","LUQ-EV-R",2022,1,0,10,76.73,2.94,0.521972789,"hot water",NA,NA,NA
"137","LUQ-082","IECZM006V","LUQ","EV","T","LUQ-EV-T",2022,1,50,60,16.14,3.22,0.100248447,"hot water",NA,NA,NA
"138","LUQ-083","IECZM005O","LUQ","EV","M","LUQ-EV-M",2022,1,20,30,33.78,3.25,0.207876923,"hot water",NA,NA,NA
"139","LUQ-084","IECZM006B","LUQ","EV","R","LUQ-EV-R",2022,1,50,60,24.08,3.25,0.148184615,"hot water",NA,NA,NA
"140","LUQ-085","IECZM0068","LUQ","EV","R","LUQ-EV-R",2022,1,20,30,49.41,3.13,0.31571885,"hot water",NA,NA,NA
"141","LUQ-086","IECZM0060","LUQ","EV","M","LUQ-EV-M",2022,1,140,150,7.01,3.19,0.043949843,"hot water",NA,NA,NA
"142","LUQ-087","IECZM006E","LUQ","EV","R","LUQ-EV-R",2022,1,80,90,19.74,3.28,0.120365854,"hot water",NA,NA,NA
"143","LUQ-088","IECZM0064","LUQ","EV","M","LUQ-EV-M",2022,1,180,190,4.05,3.18,0.025471698,"hot water",NA,NA,NA
"144","LUQ-089","IECZM0075","LUQ","IC","M","LUQ-IC-M",2022,1,60,70,19.94,4.04,0.098712871,"hot water",NA,NA,NA
"145","LUQ-090","IECZM0063","LUQ","EV","M","LUQ-EV-M",2022,1,170,180,3.66,3.29,0.02224924,"hot water",NA,NA,NA
"146","LUQ-092","IECZM006Q","LUQ","EV","T","LUQ-EV-T",2022,1,0,10,34.7,2.61,0.265900383,"hot water",NA,NA,NA
"147","LUQ-093","IECZM007H","LUQ","IC","M","LUQ-IC-M",2022,1,160,170,4.15,3.81,0.021784777,"hot water",NA,NA,NA
"148","LUQ-094","IECZM0088","LUQ","IC","R","LUQ-IC-R",2022,1,190,200,3.07,3.69,0.016639566,"hot water",NA,NA,NA
